id,tweet,new_tweet,user_mentions,n_hash_tags,n_urls,n_emojis,subtask_a,subtask_b,subtask_c,new_tweet_length,original_tweet_length
10305,@USER I definitely believe that she is credible compared to the man that lied under oath 4 times!!,definitely believe credible compare man lie oath 4 time,1,0,0,0,NOT,,,9,18
10106,@USER Still coverup.  And bet the anonymous writer of op-ed in NY times on sept 5th was the ny times itself!!!!  No sr adminstrator of #Potus. But cud say it was since refused to name writer ...ALL TO STIR UP CRAP WITHIN #TRUMP Camp!!! And #Maga,still coverup bet anonymous writer op ed ny time sept 5th ny time itself no sr adminstrator potus cud say since refuse name writer all stir crap within trump camp maga,1,3,0,0,OFF,TIN,IND,31,46
90231,2019 tours will include flights and hotels.,2019 tour include flight hotels,0,0,0,0,NOT,,,5,7
29275,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Amazing what liberals can dig up when they’re desperate! URL,amaze liberals dig desperate,11,0,1,0,NOT,,,4,21
16681,@USER Hana &amp; Hina After School. It’s an LGBT love story and I got it for my best friend and read half and the next day went back to the comic con and bought myself the series 😂,hana amp hina school lgbt love story get best friend read half next day go back comic con buy series,1,0,0,1,NOT,,,20,38
57671,@USER State level crime when the alleged offender was a juvenile. Silly liberals no crime committed by Kavanaugh but probably one by the liar Ford #DemocratsDividingAndDestroyingAmerica #DemocratsHateAmerica,state level crime allege offender juvenile silly liberals no crime commit kavanaugh probably one liar ford democratsdividinganddestroyingamerica democratshateamerica,1,2,0,0,OFF,TIN,GRP,18,27
94723,@USER @USER Case and point society through mind manipulation is causing people to do horrendous things hurting weaker creatures is a sign of a deeply troubled individual but yet the left focuses more on gun control than on getting to the core of the mental health of the people,case point society mind manipulation cause people horrendous things hurt weaker creatures sign deeply trouble individual yet leave focus gun control get core mental health people,2,0,0,0,NOT,,,26,49
12409,@USER Well you are and we love you,well love,1,0,0,0,NOT,,,2,8
33727,@USER @USER @USER @USER @USER @USER One really horrible incident I could show you hundreds of antifa but they didn't kill anybody YET!!!!,one really horrible incident could show hundreds antifa not kill anybody yet,6,0,0,0,OFF,TIN,OTH,12,23
63085,@USER @USER @USER @USER @USER @USER @USER What a stupid incompetent devious and toxic PM! May haven't you forgotten 17.4 million voters? Betray us at your peril! You are eroding faith in democracy + destroying Tory Party! You should go URL,stupid incompetent devious toxic pm may not forget 17 4 million voters betray us peril erode faith democracy destroy tory party go,7,0,1,0,NOT,,,22,41
73550,Sean Spicer and Donald Trump in happier times.  #MAGA #TheResistance #MondayMotivation URL,sean spicer donald trump happier time maga theresistance mondaymotivation,0,3,1,0,NOT,,,9,12
14612,👀 PATRIOTS &amp; ANONS 👀  💥old SOROS is shopping again!💥  #MAGA #ConfirmKavanaugh #DeepState @USER  @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER URL,patriots amp anons old soros shop again maga confirmkavanaugh deepstate,14,3,1,4,NOT,,,10,28
37146,@USER He’s not even one of the strongest conservatives that could have been nominated and it has still come to this.,not even one strongest conservatives could nominate still come this,1,0,0,0,NOT,,,10,21
58540,@USER @USER @USER Amen !!!,amen,3,0,0,0,NOT,,,1,5
98090,@USER @USER Elon has been smoking too much dope and he apparently got a bad batch. Even I knew that vessel he sent would not work to rescue the #ThailandChildren. @USER quit.,elon smoke much dope apparently get bad batch even know vessel send would not work rescue thailandchildren quit,3,1,0,0,NOT,,,18,32
75988,@USER he’s obviously a bitch,obviously bitch,1,0,0,0,OFF,TIN,IND,2,5
93137,@USER You are definitely living outside DC. I can’t get this book through Amazon in VA for two weeks becaus it’s back ordered. The first print is 1 M copies!,definitely live outside dc not get book amazon va two weeks becaus back order first print 1 copy,1,0,0,0,NOT,,,18,30
90987,@USER @USER @USER @USER Why? Chairman of Young Conservatives whilst at Oxford.,why chairman young conservatives whilst oxford,4,0,0,0,NOT,,,6,12
46592,@USER @USER @USER Be there with Bells on 👍✌️❤️,bell,3,0,0,1,NOT,,,1,9
14880,"@USER Anne Coulter. Oh, and Jack Abramoff. You kids were stupid enough to be courted by Conservatives"" when they showed up on U.S. campuses, back in '80.   So, there's two...""",anne coulter oh jack abramoff kid stupid enough court conservatives show u s campuses back 80 so there s two,1,0,0,0,OFF,TIN,GRP,20,30
66531,@USER he is my rainbow after every storm💜,rainbow every storm,1,0,0,1,NOT,,,3,8
61374,@USER @USER Demorats hold Conservatives&amp;GOP to a higher standard than they hold themselves to,demorats hold conservatives amp gop higher standard hold,2,0,0,0,NOT,,,8,14
61968,@USER @USER @USER @USER @USER Thanks DBC! Love reading your books! I’ve heard that #51 is pretty epic too - looking forward to *finally* getting to read it soon!!!,thank dbc love read book hear 51 pretty epic look forward finally get read soon,5,1,0,0,NOT,,,15,29
21422,@USER Can somebody please put him back in his coffin.,somebody please put back coffin,1,0,0,0,OFF,TIN,IND,5,10
35544,"@USER It's up there with the bumper sticker liberals"", just more expensive.""",bumper sticker liberals expensive,1,0,0,0,NOT,,,4,12
82223,@USER @USER So you are going to deflect away from nearly 3000 dead due the the lack of post hurricane support from the Trump administration by using the deportation of a single 92 year old man? You sir are the offensive one.,go deflect away nearly 3000 dead due lack post hurricane support trump administration use deportation single 92 year old man sir offensive one,2,0,0,0,OFF,TIN,IND,23,42
40904,"@USER You're either a bot or... for some reason you're associated Gavin McInnes with the alt-right""?   Time to find some better news sources, bro? The ""alt-right"" hasn't been relevant since CVille. Your journalists covering #antifa or just focusing on a few harmless conservatives?""",either bot or reason associate gavin mcinnes alt right time find better news source bro alt right not relevant since cville journalists cover antifa focus harmless conservatives,1,1,0,0,OFF,TIN,IND,27,43
82716,@USER @USER At an AntiFa riot and screaming at white people,antifa riot scream white people,2,0,0,0,OFF,TIN,IND,5,11
40324,@USER Bird ass URL,bird ass,1,0,1,0,OFF,TIN,IND,2,4
71969,@USER And here are an Antifa Group after Old Boy Nazi Soros forgot to pay them... URL,antifa group old boy nazi soros forget pay them,1,0,1,0,NOT,,,9,17
63100,@USER He’s the fart in the wind of history. URL,fart wind history,1,0,1,0,NOT,,,3,10
60175,@USER Haha that's just because I'm unique. A lot of Americans can't find Sweden on a map. And I'm like jag älskar Sverige😍💙💛🇸🇪❤️,haha that s i m unique lot americans not find sweden map i m like jag lskar sverige,1,0,0,1,NOT,,,18,23
97963,2. This lady nails it ⬇️ “Brexit seems to have unleashed an angry incivility”. Unless moderate #OneNation @USER stand up &amp; fight for a sensible moderate Brexit (for me that’s EFTA @USER we risk becoming a #HardBrexit party rejected by moderates &amp; replaced by Corbyn URL,2 lady nail brexit seem unleash angry incivility unless moderate onenation stand amp fight sensible moderate brexit for efta risk become hardbrexit party reject moderate amp replace corbyn,2,2,1,1,NOT,,,28,46
78443,*pats tears* Gosh..... Dammit *sniffs* *sighs* My baby-* sniffs* She just doesn't deserve this💔😭. She is so precious and I- URL,pat tear gosh dammit sniff sigh baby sniff not deserve this precious i,0,0,1,1,OFF,UNT,,13,21
27002,@USER No better or worse than your darling brat Antifa bashing people’s head in. Love to see the mug shots. They look like meth heads.,no better worse darling brat antifa bash people head in love see mug shots look like meth head,1,0,0,0,OFF,TIN,IND,18,25
32872,"@USER @USER @USER @USER @USER @USER Funny how often you see criticism of federal polices and some writes  both the conservatives and the liberals""""",funny often see criticism federal police write conservatives liberals,6,0,0,0,NOT,,,9,24
31278,@USER @USER YOOOOO I didn't know you had a son. That's awesome. Look how focused he is. 😃,yooooo not know son that s awesome look focus be,2,0,0,1,NOT,,,10,18
58047,@USER @USER Actually it’s liberals like Waters and antifa who promote violence,actually liberals like water antifa promote violence,2,0,0,0,OFF,TIN,IND,7,12
40903,@USER @USER @USER Then what is gun control?,gun control,3,0,0,0,NOT,,,2,8
51805,22 kids a day shot in USA ? statues of children hiding under desks to silently plead with voters for protection URL URL,22 kid day shoot usa statues children hide desks silently plead voters protection,0,0,2,0,NOT,,,13,23
46830,@USER @USER You know it's a good tyr impression when there's a fat typo in it,know good tyr impression there s fat typo,2,0,0,0,NOT,,,8,16
87416,@USER @USER @USER @USER Liars like the Antifa twins you vigorously defend?,liars like antifa twin vigorously defend,4,0,0,0,OFF,TIN,GRP,6,12
74099,@USER You’re from my state. What is your view on gun control?,state view gun control,1,0,0,0,NOT,,,4,12
62072,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER ...and #LeviStrauss wanting gun control How many of us wonder why the heck do they want our freedoms taken away ~ or is it just selective freedoms? URL,and levistrauss want gun control many us wonder heck want freedoms take away selective freedoms,11,1,1,1,OFF,TIN,GRP,15,39
18569,@USER BS still boycotting NFL.,bs still boycott nfl,1,0,0,0,NOT,,,4,5
41962,@USER Isn't there a Statute of Limitations on sexual assault? Hurry up and confirm #BrettKavanaugh before the Liberals invent some other accusations.,not statute limitations sexual assault hurry confirm brettkavanaugh liberals invent accusations,1,1,0,0,NOT,,,11,22
77415,@USER @USER @USER If he is from AZ I would put my money on sex with underage kids.,az would put money sex underage kid,3,0,0,0,OFF,TIN,IND,7,18
17057,@USER Fake News spewing lies again ! Patriot Voters do not approve of Kaepernick and his Socialist Nike Ads!!👎🏼👎🏼👎🏼🤮🔥👹,fake news spew lie patriot voters not approve kaepernick socialist nike ads,1,0,0,1,NOT,,,12,19
18671,@USER Gee I wonder why? Thank you Trudeau/Butts/Telford for killing Ontario's auto industry. Using Trump Derangement Syndrome fed by our deranged MSM to try to win the next election. Zero seats for Liberals! Defund the CBC!,gee wonder why thank trudeau butt telford kill ontario s auto industry use trump derangement syndrome fee derange msm try win next election zero seat liberals defund cbc,1,0,0,2,NOT,,,28,36
73041,@USER @USER Lock him up!  He is insane!,lock up insane,2,0,0,0,OFF,TIN,IND,3,8
96932,@USER @USER you are welcome,welcome,2,0,0,0,NOT,,,1,5
10253,@USER @USER you are awesome! Thank you. You give humanity hope!,awesome thank you give humanity hope,2,0,0,0,NOT,,,6,11
77651,@USER @USER I'll go to the original argument that people shouldn't blanket everyone together.   Terrorists = all Muslims  Alt-Right = all conservatives  Both of these are equally dumb. Requiring specific groups to denounce their fringes means that the general populace can't differentiate.,i ll go original argument people not blanket everyone together terrorists muslims alt right conservatives equally dumb require specific group denounce fringe mean general populace not differentiate,2,0,0,2,OFF,TIN,GRP,27,42
73902,.@USER Conference is fast approaching and we will soon be heading to Birmingham.  Check out our programme of events below 👇🌈💙  URL URL,conference fast approach soon head birmingham check programme events,1,0,2,1,NOT,,,9,23
66398,@USER Thus far the only people getting shot and kicked out of places are conservatives. #MAGA #WalkAway #ConfirmKavanaugh,thus far people get shoot kick place conservatives maga walkaway confirmkavanaugh,1,3,0,0,OFF,TIN,GRP,11,18
57399,@USER @USER @USER The reason I ask is because  most liberals R totally oblivious to good things he's done.They often R so clueless they can't even name 1 thing.  They just repeat what they hear from programs like The View &amp; liberal media.They haven't even researched or have a thought of their own.,reason ask liberals r totally oblivious good things he s do they often r clueless not even name 1 thing repeat hear program like view amp liberal media they not even research think own,3,0,0,0,NOT,,,34,53
16669,@USER @USER @USER @USER @USER Leave that to your Antifa cronies amirite?,leave antifa cronies amirite,5,0,0,0,NOT,,,4,12
74951,@USER @USER @USER @USER How about trump sending out memes while he is president of him bashing Hilary with a folding chair,trump send memes president bash hilary fold chair,4,0,0,0,NOT,,,8,22
31950,@USER And does this surprise any of us TRUMP SUPPORTERS!!! Not at all... We have heard him accused of everything that can be imagined!!! We still stand BEHIND Our President Donald J TRUMP!!!🇺🇸🇺🇸🇺🇸🇺🇸👍👍👍👍👍,surprise us trump supporters not all hear accuse everything imagine still stand behind president donald j trump,1,0,0,1,NOT,,,17,33
73016,@USER For all I know you're naming off sex robot models,know name sex robot model,1,0,0,0,OFF,TIN,IND,5,11
61634,"@USER Real question: has Ted Cruz never dropped an f-bomb in his life?  Is this something that should disqualify you from public office? Grabbing someone by the pussy"" literally &amp; verbally, is a lot more offensive to me""",real question ted cruz never drop f bomb life something disqualify public office grab someone pussy literally amp verbally lot offensive me,1,0,0,0,NOT,,,22,38
12532,@USER Carter was the worst one term President until h was passed for that title by Oba our first Black Racist President!  Kinda like  a Black Jefferson Davis!,carter worst one term president h pass title oba first black racist president kinda like black jefferson davis,1,0,0,0,OFF,TIN,IND,18,28
35216,@USER Perhaps the Myers House. Wynn runs Smithsgrove and he’s the leader of the Thorn cult. I used to think he was my friend until he revealed his true intentions. He is a madman!,perhaps myers house wynn run smithsgrove leader thorn cult use think friend reveal true intentions madman,1,0,0,0,OFF,TIN,IND,16,34
40309,@USER @USER Both Labour &amp; Lib Dems are 'Remain' parties. If you want to leave the EU the only option is the Conservatives. Just saying.,labour amp lib dems remain party want leave eu option conservatives say,2,0,0,0,NOT,,,12,25
10922,@USER  I don't agree with you. But if you want to see a real damsel in distress play the fucking marry Jane missions. They are soooo boring . she's so stupid. URL,not agree you want see real damsel distress play fuck marry jane missions soooo bore stupid,1,0,1,0,OFF,TIN,IND,16,32
98824,@USER She is not the brightest light on the tree.,not brightest light tree,1,0,0,0,NOT,,,4,10
98962,@USER Congrats Naomi! U deserved to win. U showed true sportsmanship during Serena’s meltdown. I would like to apologize for her behavior. What an embarrassment for the US. She should have been ejected for arguing with the side chair. She thinks she is superior but she’s not.,congrats naomi u deserve win u show true sportsmanship serena meltdown would like apologize behavior embarrassment us eject argue side chair think superior not,1,0,0,0,OFF,TIN,IND,24,47
98134,AND I gotta wait till March for the DLC that comes out 🤦🏾‍♂️,get ta wait till march dlc come,0,0,0,1,NOT,,,7,13
20778,@USER Hmmmm.  I think they should’ve held on to him a bit longer.  We might see his face and hear his name again.,hmmmm think hold bite longer might see face hear name again,1,0,0,0,NOT,,,11,23
39648,@USER Beyond absurd! Ehat flavor kool-aide is being dispensed at the water cooler? #GroupThinkStinks,beyond absurd ehat flavor kool aide dispense water cooler groupthinkstinks,1,1,0,0,NOT,,,10,14
42402,@USER @USER And yet he is allowed to. Congress is supposed to be a check on this clown. If we get control of Congress you folks have to write some laws to prevent this happening again.,yet allow to congress suppose check clown get control congress folks write laws prevent happen again,2,0,0,0,OFF,TIN,IND,16,36
91223,@USER She is really good for him and told him how he needed to straighten up. I like her and I like them together. Sometimes you just need someone who calls you out on your sh*t so you can become a better person 💖,really good tell need straighten up like like together sometimes need someone call sh t become better person,1,0,0,1,NOT,,,18,44
62302,@USER Desirable? Give me a woman over 30 anytime over a girl in her 20s anyday. To much to teach them and you can't relate on a higher level. You are beautiful and any man would be lucky to have you.,desirable give woman 30 anytime girl 20s anyday much teach not relate higher level beautiful man would lucky you,1,0,0,0,NOT,,,19,41
94456,@USER @USER He's been trashing all along even to our allies.,he s trash along even ally,2,0,0,0,OFF,TIN,IND,6,11
38152,Just think this hate America filled man was our VP!!!!??? Dems HATE AMERICA! Do you see it yet?   WALK no #RUNAway from Dems &amp; join Patriots who LOVE TO LIVE IN AMERICA!   #MAGA URL,think hate america fill man vp dems hate america see yet walk no runaway dems amp join patriots love live america maga,0,2,1,0,NOT,,,22,34
32034,@USER @USER @USER I find it very offensive that you know what black people feel!! As a black not African because I was born in America want recognition then build your own stuff!!! It's the same with Conservatives that cry about censorship  If you don't like the rules build your own house. URL,find offensive know black people feel black not african bear america want recognition build stuff conservatives cry censorship not like rule build house,3,0,1,0,OFF,TIN,IND,23,53
30876,@USER @USER @USER @USER Numerous Jewish groups have come out and denounced the misuse of AS as a tool to smear and bludgeon Corbyn. You are welcome to Google this. Not all Jews agree with you.,numerous jewish group come denounce misuse tool smear bludgeon corbyn welcome google this not jews agree you,4,0,0,0,NOT,,,17,36
13602,@USER @USER @USER No worries Antifa. You can still live in your parents basement and go to your community college!!!,no worry antifa still live parent basement go community college,3,0,0,0,OFF,TIN,IND,10,20
32277,@USER I’ve been following this doll since 06 and he is a STAR. I love you 😍,follow doll since 06 star love,1,0,0,1,NOT,,,6,17
65192,@USER Because of the Mayor,mayor,1,0,0,0,NOT,,,1,5
38171,@USER No we no mames,no no mames,1,0,0,0,NOT,,,3,5
12425,@USER Kingggg,kingggg,1,0,0,0,NOT,,,1,2
44712,@USER @USER I love the way Leona Alleslev has seen through the Liberals. She has undoubtedly seen the destruction of our choice of service to our country. Trudeau's father started its destruction in the 60's and it hasn't changed Juniors goal of destruction either. Thank you for joining us.,love way leona alleslev see liberals undoubtedly see destruction choice service country trudeau s father start destruction 60 s not change juniors goal destruction either thank join us,2,0,0,0,NOT,,,28,49
63865,@USER A candidate for governor that is friends with an individual that supports ANTIFA? #trump #MAGA #Syria #Israel #AlternativeFacts #WalkAway #WalkAwayFromDemocrats #LiberalismIsAMentalDisease #NEWS #Kavanaugh #sugardaddyneeded for Democratic socialists=taxpayers Working Families URL,candidate governor friends individual support antifa trump maga syria israel alternativefacts walkaway walkawayfromdemocrats liberalismisamentaldisease news kavanaugh sugardaddyneeded democratic socialists taxpayers work families,1,11,1,1,NOT,,,22,31
87902,@USER You are my hero!!,hero,1,0,0,0,NOT,,,1,5
29307,@USER Obama speaking unrestrained for more than 5 minutes....Trump couldn't have asked for a better gift and gun control Democrats just shot themselves in the proverbial foot URL,obama speak unrestrained 5 minutes trump could not ask better gift gun control democrats shoot proverbial foot,1,0,1,0,NOT,,,17,28
87993,@USER YAYYYYY LOVE U GUYS SM,yayyyyy love u guy sm,1,0,0,0,NOT,,,5,6
56563,@USER Does penn state produce criminals too?,penn state produce criminals too,1,0,0,0,NOT,,,5,7
92114,"@USER Tom Marvollo Riddle. Evan will lose his dick if he fucks around he knows it. Cause he is already after a lady""  She nods and looked at Evan.  Evan grins at her and stayed silent.  He did liked to fuck around but he knew he could not hurt his date""",tom marvollo riddle evan lose dick fuck around know it cause already lady nod look evan evan grin stay silent like fuck around know could not hurt date,1,0,0,0,OFF,TIN,IND,28,51
