id,tweet,new_tweet,user_mentions,n_hash_tags,n_urls,n_emojis,subtask_a,subtask_b,subtask_c,original_tweet_length,new_tweet_length
86426,@USER She should ask a few native Americans what their take on this is.,she ask native americans their take be,1,0,0,0,OFF,UNT,,14,7
90194,@USER @USER Go home you’re drunk!!! @USER #MAGA #Trump2020 👊🇺🇸👊 URL,go home you drink maga trump2020,3,2,1,1,OFF,TIN,IND,11,6
16820,Amazon is investigating Chinese employees who are selling internal data to third-party sellers looking for an edge in the competitive marketplace. URL #Amazon #MAGA #KAG #CHINA #TCOT,amazon investigate chinese employees sell internal data third party sellers look edge competitive marketplace amazon maga kag china tcot,0,5,1,0,NOT,,,27,19
62688,"@USER Someone should'veTaken"" this piece of shit to a volcano. 😂""",someone should vetaken piece shit volcano,1,0,0,1,OFF,UNT,,11,6
43605,@USER @USER Obama wanted liberals &amp; illegals to move into red states,obama want liberals amp illegals move red state,2,0,0,0,NOT,,,12,8
97670,@USER Liberals are all Kookoo !!!,liberals kookoo,1,0,0,0,OFF,TIN,OTH,6,2
77444,@USER @USER Oh noes! Tough shit.,oh noes tough shit,2,0,0,0,OFF,UNT,,6,4
52415,@USER was literally just talking about this lol all mass shootings like that have been set ups. it’s propaganda used to divide us on major issues like gun control and terrorism,literally talk lol mass shoot like set up it propaganda use divide us major issue like gun control terrorism,1,0,0,0,OFF,TIN,GRP,31,19
45157,@USER Buy more icecream!!!,buy icecream,1,0,0,0,NOT,,,4,2
13384,@USER Canada doesn’t need another CUCK! We already have enough #LooneyLeft #Liberals f**king up our great country! #Qproofs #TrudeauMustGo,canada not need another cuck we already enough looneyleft liberals f king our great country qproofs trudeaumustgo,1,4,0,0,OFF,TIN,IND,19,17
82776,@USER @USER @USER It’s not my fault you support gun control,it not my fault you support gun control,3,0,0,0,NOT,,,11,8
42992,@USER What’s the difference between #Kavanaugh and @USER   One of these men admitted to groping a 15 year old girl years ago.  The other is going to be #confirmed to the SCJ   #DemsareFrauds #DemsAreDone   #WalkAwayDemocrats2018 #redwave #VoteRedSaveAmerica #trumptrain #MAGA URL,difference kavanaugh one men admit grope 15 year old girl years ago go confirm scj demsarefrauds demsaredone walkawaydemocrats2018 redwave voteredsaveamerica trumptrain maga,2,9,1,0,NOT,,,40,22
28414,@USER you are a lying corrupt traitor!!! Nobody wants to hear anymore of your lies!!! #DeepStateCorruption URL,you lie corrupt traitor nobody want hear anymore your lie deepstatecorruption,1,1,1,0,OFF,TIN,IND,17,11
54920,@USER @USER @USER It should scare every American!  She is playing Hockey with a warped puck!,it scare every american she play hockey warp puck,3,0,0,0,NOT,,,16,9
56392,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER I like my soda like I like my boarders with a lot of ICE.,i like my soda like i like my boarders lot ice,50,0,0,0,NOT,,,64,11
86735,@USER you are also the king of taste,you also king taste,1,0,0,0,NOT,,,8,4
95686,#MAGA @USER  🎶 Sing like no one is listening  ♥️ Love like you've never been hurt  ✔️ Vote GOP when no one is watching  🙉  And don't listen to Liberals' dirt URL,maga sing like no one listen love like you ve never hurt vote gop no one watch not listen liberals dirt,1,1,1,4,NOT,,,32,21
71446,"5/5: @USER The time is right for this House to respond to the concerns of all Canadians. Four out of five Canadians support stronger gun control and with good reason.” #guncontrol #cdnpoli #cdnhist""",5 5 time right house respond concern canadians four five canadians support stronger gun control good reason guncontrol cdnpoli cdnhist,1,3,0,1,NOT,,,33,20
23958,@USER Besides Jax’s mom and maybe Ope he is hands down my favorite he’s like the only good person on the show 😂,besides jax mom maybe ope he hand my favorite he like good person show,1,0,0,1,NOT,,,23,14
